stations,region,station_number,name,address,phone,latitude,longitude
1,道南,19,あっさぶ,檜山郡厚沢部町緑町72-1,0139-64-3738,41.916601,140.216194
2,道南,6,江差,檜山郡江差町字尾山町1番地,0139-52-1177,41.89472,140.139271
3,道南,34,上ノ国もんじゅ,檜山郡上ノ国町字原歌3,0139-55-3955,41.808517,140.095108
4,道南,106,北前船 松前,松前郡松前町字唐津379番地,0139-46-2211,41.426579,140.107269
5,道南,117,しかべ間歇泉公園,茅部郡鹿部町字鹿部18番地1,01372-7-5655,42.02852,140.83055
6,道南,113,縄文ロマン　南かやべ,函館市臼尻町551-1,0138-25-2030,41.927921,140.944837
7,道南,41,しりうち,上磯郡知内町字湯の里48-13,01392-6-2270,41.601352,140.336459
8,道南,62,つど～る・プラザ・さわら,茅部郡森町字砂原2丁目358番地1,01374-8-2828,42.125311,140.667347
9,道南,21,てっくいランド大成,久遠郡せたな町大成区平浜378,01398-4-6561,42.212446,139.876693
10,道南,61,なとわ・えさん,函館市日ノ浜町31番地2,0138-85-4010,41.779477,141.101591
11,道南,121,なないろ・ななえ,亀田郡七飯町字峠下380-2,0138-86-5195,41.92591,140.65724
12,道南,116,みそぎの郷　きこない,上磯郡木古内町字本町338-14,01392-2-3161,41.67786,140.43523
13,道南,23,ＹＯＵ・遊・もり,茅部郡森町字上台町326-18,01374-2-4886,42.099462,140.567931
14,道南,42,横綱の里ふくしま,松前郡福島町字福島143-1,0139-47-4072,41.479474,140.255687
15,道南,25,ルート２２９元和台,爾志郡乙部町字元和169,0139-62-3009,42.011299,140.106494
16,道央①,120,石狩「あいろーど厚田」,石狩市厚田区厚田98番地2,0133-78-2300,43.4044,141.4314
17,道央①,56,うたしないチロルの湯,歌志内市字中村72番地2,0125-42-5566,43.503215,142.005833
18,道央①,90,鐘のなるまち・ちっぷべつ,雨竜郡秩父別町2085番地,0164-33-3902,43.765128,141.966617
19,道央①,17,サンフラワー北竜,雨竜郡北竜町字板谷163番地2,0164-34-3321,43.750525,141.875931
20,道央①,110,しんしのつ,石狩郡新篠津村第45線北2番地,0126-58-3166,43.214028,141.642625
21,道央①,2,スタープラザ 芦別,芦別市北4条東1丁目1番地,0124-23-1437,43.525137,142.189339
22,道央①,58,たきかわ,滝川市江部乙町東11丁目13-3,0125-26-5500,43.623392,141.941458
23,道央①,60,つるぬま,樺戸郡浦臼町字キナウスナイ188,0125-68-2626,43.451593,141.835746
24,道央①,46,田園の里うりゅう,雨竜郡雨竜町字満寿28番地3,0125-79-2100,43.662466,141.894087
25,道央①,130,２７５つきがた,樺戸郡月形町81番地10,0126-37-2188,43.34136,141.67977
26,道央①,26,ハウスヤルビ奈井江,空知郡奈井江町字奈井江28番地1,0125-65-4601,43.433164,141.888771
27,道央①,119,北欧の風 道の駅とうべつ,石狩郡当別町当別太774番地11,0133-27-5260,43.17698,141.44812
28,道央①,1,三笠,三笠市岡山1056番地1,01267-2-5775,43.246551,141.804518
29,道央①,71,ライスランドふかがわ,深川市音江町広里59-7,0164-26-3636,43.699508,142.070673
30,道央②,115,あかいがわ,余市郡赤井川村字都190番地16,0135-34-6699,43.051422,140.844404
31,道央②,91,あぷた,虻田郡洞爺湖町入江84-2,0142-76-5501,42.528974,140.778707
32,道央②,14,いわない,岩内郡岩内町万代47-4,0135-63-1155,42.983432,140.516757
33,道央②,35,オスコイ！かもえない,古宇郡神恵内村大字赤石村字大森292-1,0135-76-5800,43.165318,140.385962
34,道央②,57,くろまつない,寿都郡黒松内町字白井川8番地10,0136-71-2222,42.672678,140.380023
35,道央②,88,シェルプラザ・港,磯谷郡蘭越町港町1402番地1,0136-56-2700,42.880162,140.370035
36,道央②,49,スペース・アップルよいち,余市郡余市町黒川町6-4-1,0135-22-1515,43.188931,140.78898
37,道央②,39,そうべつ情報館i,有珠郡壮瞥町字滝之町384番地1,0142-66-2750,42.558778,140.898762
38,道央②,65,だて歴史の杜,伊達市松ヶ枝町34番地1,0142-25-5567,42.47047,140.87553
39,道央②,104,とうや湖,虻田郡洞爺湖町香川9番地4,0142-87-2200,42.664498,140.821815
40,道央②,78,とようら,虻田郡豊浦町字旭町65-8,0142-83-1010,42.577548,140.72238
41,道央②,73,２３０ルスツ,虻田郡留寿都村字留寿都127-191,0136-47-2068,42.739964,140.884466
42,道央②,40,ニセコビュープラザ,虻田郡ニセコ町字元町77番地10,0136-43-2051,42.79942,140.702323
43,道央②,7,望羊中山,虻田郡喜茂別町字川上345番地,0136-33-2671,42.855802,141.096661
44,道央②,89,真狩フラワーセンター,虻田郡真狩村字光8番地3,0136-48-2007,42.761958,140.807986
45,道央②,47,みたら室蘭,室蘭市祝津町4丁目16番地15,0143-26-2030,42.341944,140.943738
46,道央②,103,みなとま～れ寿都,寿都郡寿都町字大磯町29-1,0136-62-2550,42.795373,140.231751
47,道央②,96,名水の郷きょうごく,虻田郡京極町字川西45番地1,0136-42-2292,42.859282,140.870465
48,道央②,20,よってけ！島牧,島牧郡島牧村字千走11-1,0136-74-5183,42.686548,140.013033
49,道央②,77,らんこし・ふるさとの丘,磯谷郡蘭越町字相生969,0136-55-3251,42.762055,140.478964
50,道央③,124,あびら D51ステーション,勇払郡安平町追分柏が丘49-1,0145-29-7751,42.87638,141.81877
51,道央③,108,ウトナイ湖,苫小牧市字植苗156ｰ30,0144-58-4137,42.699976,141.694643
52,道央③,85,サーモンパーク千歳,千歳市花園2丁目4番2号,0123-29-3972,42.83398,141.65903
53,道央③,43,サラブレッドロード新冠,新冠郡新冠町字中央町1番地の20,0146-45-7070,42.35982,142.315704
54,道央③,38,樹海ロード日高,沙流郡日高町本町東1丁目298番地の１,01456-2-6031（日高町役場）/01457-6-2106（カーナビ検索）,42.876827,142.442036
55,道央③,87,花ロードえにわ,恵庭市南島松817番地18,0123-37-8787,42.897201,141.585757
56,道央③,37,マオイの丘公園,夕張郡長沼町東10線南7番地,0123-84-2120,42.949987,141.716638
57,道央③,18,みついし,日高郡新ひだか町三石鳧舞161-2,0146-34-2333,42.22091,142.634366
58,道央③,80,むかわ四季の館,勇払郡むかわ町美幸3丁目3-1,0145-42-4171,42.573806,141.924959
59,道央③,111,夕張メロード,夕張市紅葉山526-19,0123-53-8111,42.936974,142.038116
60,道北,66,あさひかわ,旭川市神楽4条6丁目1番12号,0166-61-2283,43.759929,142.348539
61,道北,93,絵本の里けんぶち,上川郡剣淵町東町2420番地,0165-34-3811,44.093831,142.390988
62,道北,8,えんべつ富士見,天塩郡遠別町富士見46-21,01632-9-7555,44.71431,141.79317
63,道北,12,おといねっぷ,中川郡音威子府村字音威子府155番地,01656-5-3111,44.729075,142.257864
64,道北,27,おびら鰊番屋,留萌郡小平町字鬼鹿広富,0164-56-1828,44.137021,141.654955
65,道北,123,北オホーツクはまとんべつ,枝幸郡浜頓別町中央北21番地1,01634-8-7887,45.12524,142.36074
66,道北,54,さるふつ公園,宗谷郡猿払村浜鬼志別214番地7,01635-2-2311,45.329212,142.177334
67,道北,67,自然体感しむかっぷ,勇払郡占冠村字中央,0167-39-8010,42.97878,142.39774
68,道北,74,てしお,天塩郡天塩町新開通4-7227-2,01632-9-2155,44.884485,141.747751
69,道北,48,とうま,上川郡当麻町宇園別2区,0166-58-8639,43.844076,142.48935
70,道北,72,なかがわ,中川郡中川町字誉498-1,01656-7-2683,44.801688,142.067353
71,道北,97,びえい「丘のくら」,上川郡美瑛町本町1丁目9番21号,0166-92-0920,43.592133,142.463783
72,道北,122,びえい「白金ビルケ」,上川郡美瑛町字白金,0166-94-3355,43.50282,142.59723
73,道北,86,ひがしかわ「道草館」,上川郡東川町東町1丁目1-15,0166-68-4777,43.697258,142.508766
74,道北,129,羊のまち 侍・しべつ,士別市大通東5丁目440番地23,0165-26-7353,44.17639,142.39283
75,道北,5,びふか,中川郡美深町字大手307番地1,01656-2-1000,44.55884,142.320014
76,道北,32,ピンネシリ,枝幸郡中頓別町字敏音知72-7,01634-7-8510,44.877472,142.213351
77,道北,94,風Ｗとままえ,苫前郡苫前町字苫前119番地の１,0164-64-2810,44.313464,141.656886
78,道北,50,ほっと♡はぼろ,苫前郡羽幌町北3条1丁目29番地,0164-62-3800,44.3668,141.70684
79,道北,28,マリーンアイランド岡島,枝幸郡枝幸町岡島1978番地13,0163-62-2860,44.878361,142.631797
80,道北,3,南ふらの,空知郡南富良野町字幾寅687番地,0167-52-2100,43.169759,142.572606
81,道北,102,もち米の里☆なよろ,名寄市風連町西町334番地1,01655-7-8686,44.287386,142.413781
82,道北,55,森と湖の里ほろかない,雨竜郡幌加内町字政和第一,0165-37-2070,44.114678,142.139383
83,道北,126,るもい,留萌市船場町2丁目114,0164-43-1501,43.94454,141.64834
84,道北,98,☆ロマン街道しょさんべつ,苫前郡初山別村字豊岬153-1,0164-67-2525,44.563263,141.777502
85,道北,114,わっかない,稚内市開運2丁目,0162-29-0277,45.41748,141.677582
86,十勝,84,あしょろ銀河ホール21,足寄郡足寄町北1条1丁目3番地,0156-25-6131,43.244327,143.546446
87,十勝,109,うらほろ,十勝郡浦幌町字北町16-3,015-576-5678,42.813912,143.66349
88,十勝,92,うりまく,河東郡鹿追町瓜幕西3丁目,0156-67-2626,43.169736,143.025019
89,十勝,69,オーロラタウン93りくべつ,足寄郡陸別町大通,0156-27-2012,43.46759,143.74254
90,十勝,31,おとふけ,河東郡音更町なつぞら2番地,0155-65-0822,42.97526,143.18177
91,十勝,128,ガーデンスパ十勝川温泉,河東郡音更町十勝川温泉北14丁目1,0155-46-2447,42.93343,143.30083
92,十勝,127,かみしほろ,河東郡上士幌町字上士幌東3線227番地1,01564-7-7722,43.22462,143.29093
93,十勝,75,コスモール大樹,広尾郡大樹町西本通98番地,01558-6-5220,42.489821,143.273258
94,十勝,64,さらべつ,河西郡更別村字弘和464番地1,0155-53-3663,42.633248,143.271868
95,十勝,82,しかおい,河東郡鹿追町東町3丁目2,0156-66-1125,43.098364,142.988608
96,十勝,95,しほろ温泉,河東郡士幌町字下居辺西2線134番地,01564-5-3630,43.138892,143.367926
97,十勝,107,ステラ★ほんべつ,中川郡本別町北3丁目1-1,0156-22-5819,43.125717,143.613246
98,十勝,9,忠類,中川郡幕別町忠類白銀町384番地12,01558-8-3236,42.558861,143.299189
99,十勝,36,なかさつない,河西郡中札内村大通南7丁目14番地,0155-67-2811,42.692136,143.126836
100,十勝,44,ピア21しほろ,河東郡士幌町字士幌西2線134番地1,01564-5-3940,43.14432,143.2394
101,オホーツク,81,あいおい,網走郡津別町字相生83番地1,0152-75-9101,43.545576,143.980524
102,オホーツク,52,愛ランド湧別,紋別郡湧別町志撫子6番地,01586-8-2455,44.130755,143.719234
103,オホーツク,99,うとろ・シリエトク,斜里郡斜里町ウトロ西186-8,0152-22-5000,44.069037,144.990679
104,オホーツク,125,遠軽 森のオホーツク,紋別郡遠軽町野上150番地1,0158-42-4536,44.02191,143.49587
105,オホーツク,53,おうむ,紋別郡雄武町字雄武1885番地14,0158-84-2403,44.58304,142.95975
106,オホーツク,29,おこっぺ,紋別郡興部町興部1322-21,0158-82-2385,44.469496,143.116952
107,オホーツク,22,オホーツク紋別,紋別市元紋別11,0158-23-5400,44.328376,143.374935
108,オホーツク,24,おんねゆ温泉,北見市留辺蘂町松山1番地4,0157-45-3373,43.753561,143.500623
109,オホーツク,45,香りの里たきのうえ,紋別郡滝上町旭町,0158-29-3300,44.19689,143.09098
110,オホーツク,13,かみゆうべつ温泉チューリップの湯,紋別郡湧別町中湧別中町3020-1,01586-4-1126,44.184349,143.594664
111,オホーツク,76,ぐるっとパノラマ美幌峠,網走郡美幌町字古梅,0152-77-6001,43.648511,144.247806
112,オホーツク,51,サロマ湖,常呂郡佐呂間町字浪速121-3,01587-5-2828,44.10006,143.824006
113,オホーツク,100,しゃり,斜里郡斜里町本町37番地,0152-26-8888,43.911752,144.664198
114,オホーツク,83,しらたき,紋別郡遠軽町奥白滝,0158-48-2175,43.870054,143.076282
115,オホーツク,68,にしおこっぺ花夢,紋別郡西興部村字上興部37番地,0158-87-2333,44.33589,142.868078
116,オホーツク,118,ノンキーランド　ひがしもこと,網走郡大空町東藻琴100番地,0152-66-3600,43.84499,144.29471
117,オホーツク,70,はなやか（葉菜野花）小清水,斜里郡小清水町浜小清水474-7,0152-67-7752,43.933684,144.453092
118,オホーツク,101,パパスランドさっつる,斜里郡清里町字神威1071番地,0152-26-2288,43.79036,144.53422
119,オホーツク,15,まるせっぷ,紋別郡遠軽町丸瀬布元町42-2,0158-47-2010,43.996629,143.328581
120,オホーツク,79,メルヘンの丘めまんべつ,網走郡大空町女満別昭和96番地の1,0152-75-6165,43.917363,144.188502
121,オホーツク,105,流氷街道網走,網走市南3条東4丁目5-1,0152-67-5007,44.022061,144.273904
122,釧路・根室,30,阿寒丹頂の里,釧路市阿寒町上阿寒２３線３６番地１,0154-66-2969,43.143503,144.147006
123,釧路・根室,16,厚岸グルメパーク,厚岸郡厚岸町住の江２丁目２番地,0153-52-4139,43.057651,144.844088
124,釧路・根室,112,おだいとう,野付郡別海町尾岱沼5-27,0153-86-2449,43.53339,145.236924
125,釧路・根室,4,しらぬか恋問,白糠郡白糠町恋問3丁目3番地1,01547-5-3317,42.992751,144.198134
126,釧路・根室,63,知床・らうす,目梨郡羅臼町本町361-1,0153-87-3330,44.017397,145.192086
127,釧路・根室,59,スワン44ねむろ,根室市酪陽1番地,0153-25-3055,43.261769,145.438471
128,釧路・根室,11,摩周温泉,川上郡弟子屈町湯の島3丁目5番5号,015-482-2500,43.492394,144.447695
